ra dec
228.6217373 56.30432641
228.5825415 56.46925265
228.9078512 56.40267185
228.9445 56.37154451
228.9545793 56.33956132
228.9202972 56.35902349
228.9281144 56.37177693
229.0355356 56.25427913
229.0790646 56.18887856
229.0048155 56.27972348
229.0329509 56.23936884
229.0008037 56.27076695
228.9974097 56.30047042
228.9582231 56.33213371
228.9757047 56.33007277
228.9398174 56.32452638
